# log10_lower_bound	log10_upper_bound	count
-5.139584682638195900e+00	-4.958605836109832410e+00	4.000000000000000000e+00
-4.958605836109832410e+00	-4.777626989581468919e+00	1.000000000000000000e+00
-4.777626989581468919e+00	-4.596648143053105429e+00	1.400000000000000000e+01
-4.596648143053105429e+00	-4.415669296524741050e+00	5.200000000000000000e+01
-4.415669296524741050e+00	-4.234690449996377559e+00	1.150000000000000000e+02
-4.234690449996377559e+00	-4.053711603468014069e+00	2.110000000000000000e+02
-4.053711603468014069e+00	-3.872732756939650578e+00	3.680000000000000000e+02
-3.872732756939650578e+00	-3.691753910411286643e+00	7.770000000000000000e+02
-3.691753910411286643e+00	-3.510775063882922709e+00	1.445000000000000000e+03
-3.510775063882922709e+00	-3.329796217354559218e+00	2.628000000000000000e+03
-3.329796217354559218e+00	-3.148817370826195727e+00	4.045000000000000000e+03
-3.148817370826195727e+00	-2.967838524297832237e+00	5.642000000000000000e+03
-2.967838524297832237e+00	-2.786859677769468302e+00	7.246000000000000000e+03
-2.786859677769468302e+00	-2.605880831241104811e+00	7.910000000000000000e+03
-2.605880831241104811e+00	-2.424901984712740877e+00	7.528000000000000000e+03
-2.424901984712740877e+00	-2.243923138184377386e+00	6.786000000000000000e+03
-2.243923138184377386e+00	-2.062944291656013895e+00	5.229000000000000000e+03
-2.062944291656013895e+00	-1.881965445127649961e+00	3.038000000000000000e+03
-1.881965445127649961e+00	-1.700986598599286470e+00	8.990000000000000000e+02
-1.700986598599286470e+00	-1.520007752070922535e+00	6.200000000000000000e+01
